Lect_vs_Lect,Distance
A'ou vs. A'ou,0
A'ou vs. Akajeru,2.53498438216696
A'ou vs. Amdo Tibetan,5.27774438610077
A'ou vs. Angami Naga,2.79950139896091
A'ou vs. Ao Naga,2.43353972397352
A'ou vs. Archi,5.69284904187878
A'ou vs. Aromanian,3.7694314450871
A'ou vs. Arpitan,2.93275597738462
A'ou vs. Arvanitika Albanian,4.31396164748325
A'ou vs. Asho Chin,5.01020719229116
A'ou vs. Assamese,3.78426913369575
A'ou vs. Asturian-Leonese-Cantabrian,2.41881743535343
A'ou vs. Atong (India),5.01634803201792
A'ou vs. Avar,5.61603167554558
A'ou vs. Baba Malay,5.72838033941836
A'ou vs. Badaga,5.06349143557454
A'ou vs. Bagvalal,5.80351843160145
A'ou vs. Bantawa,4.2256208048291
A'ou vs. Basque,3.82759203136579
A'ou vs. Betta Kurumba,3.8542092735347
A'ou vs. Bezhta,5.22877721704699
A'ou vs. Bih,2.44236565806525
A'ou vs. Bisu,2.63011197593489
A'ou vs. Biyo,1.22656384150126
A'ou vs. Bodo-Mech,4.71194028475542
A'ou vs. Bolyu,1.80656500646366
A'ou vs. Bonan,4.99012854210122
A'ou vs. Budukh,5.56897383061445
A'ou vs. Bugan,0.806411308252135
A'ou vs. Bujhyal,3.3323236206054
A'ou vs. Bulo Stieng,3.26127061469217
A'ou vs. Bunan,4.0403967283693
A'ou vs. Burmese,2.77044613793781
A'ou vs. Burushaski,5.40823337670973
A'ou vs. Cao Miao,2.1051692596861
A'ou vs. Catalan,3.54216696818406
A'ou vs. Central Bai,2.60561518706429
A'ou vs. Central Chong,2.53663563533609
A'ou vs. Central Hongshuihe Zhuang,1.47687132268225
A'ou vs. Central Khmer,3.40108198553673
A'ou vs. Chak,7.4525189942133
A'ou vs. Chintang,5.01496032621654
A'ou vs. Chitwania Tharu,3.55659354585287
A'ou vs. Chong of Chanthaburi,3.00255190337373
A'ou vs. Chothe,4.57202256678668
A'ou vs. Chukchi,5.09012563254859
A'ou vs. Chut,2.50211694260272
A'ou vs. Chuvash,5.57770535049778
A'ou vs. Cosao,1.18301933517181
A'ou vs. Cypriot Arabic,4.74217940316546
A'ou vs. Daai Chin,3.16367558696334
A'ou vs. Dagur,5.04445356967673
A'ou vs. Daman-Diu Portuguese,3.77948364549043
A'ou vs. Dandami Maria,5.76985422570902
A'ou vs. Danish,6.11713473654684
A'ou vs. Daohua,2.18318733572215
A'ou vs. Dari,3.42610485148095
A'ou vs. Darma,4.77085069147792
A'ou vs. Deori,4.61104332671091
A'ou vs. Dhimal,3.54959807380896
A'ou vs. Dhivehi,3.20776816885394
A'ou vs. Domari,5.34927811557235
A'ou vs. Dongxiang,5.46165631421753
A'ou vs. Duhumbi,5.09622997677065
A'ou vs. Dumi,3.40168507824659
A'ou vs. Dungan,1.0635512714653
A'ou vs. Duoluo Gelao,0.645863294775424
A'ou vs. Dutch,4.04128507294992
A'ou vs. Dzongkha,5.04852132939829
A'ou vs. E,2.43577558008323
A'ou vs. Eastern Katu,3.15175911499763
A'ou vs. Eastern Kayah,2.90928248439388
A'ou vs. Eastern Magar,4.88279571157706
A'ou vs. Eastern Newari,3.60696205171773
A'ou vs. Eastern Panjabi,3.19859225222882
A'ou vs. Eastern Tamang,2.74193718655812
A'ou vs. Enu,2.36478522413123
A'ou vs. Ersu,2.452086407349
A'ou vs. Estonian Swedish,4.15678968297679
A'ou vs. Evenki,5.188738186068
A'ou vs. Forest Enets,3.32974029435958
A'ou vs. French,4.88478300146791
A'ou vs. Friulian,5.86068805153319
A'ou vs. Galo,4.58691415670254
A'ou vs. Gan Chinese,0.981573092410549
A'ou vs. Gata',3.54518809961666
A'ou vs. Georgian,8.11834864851173
A'ou vs. German,6.40863014450061
A'ou vs. Gheg Albanian,6.58855027204689
A'ou vs. Gilaki,5.45163612447849
A'ou vs. Godoberi,3.38295984025092
A'ou vs. Godwari,3.70217322923023
A'ou vs. Gujarati,6.13556558687637
A'ou vs. Gurani,6.09304975110914
A'ou vs. Hakka Chinese,1.14517334866085
A'ou vs. Halbi,5.40633002437537
A'ou vs. Halh Mongolian,5.79079662679271
A'ou vs. Hills Karbi,2.40641242706459
A'ou vs. Hindi,5.25974092185813
A'ou vs. Hinuq,3.78882874695589
