"Lect_vs_Lect","Distance"
"A'ou vs. A'ou",0
"A'ou vs. Akajeru",2.5421028994895
"A'ou vs. Amdo Tibetan",5.28106114819081
"A'ou vs. Angami Naga",2.79956072521718
"A'ou vs. Ao Naga",2.43363195825527
"A'ou vs. Archi",5.69601439130574
"A'ou vs. Aromanian",3.77367856590606
"A'ou vs. Arpitan",2.93887229780738
"A'ou vs. Arvanitika Albanian",4.31781271064878
"A'ou vs. Asho Chin",5.01008004065523
"A'ou vs. Assamese",3.78882526819278
"A'ou vs. Asturian-Leonese-Cantabrian",2.4262592235027
"A'ou vs. Atong (India)",5.01994993913418
"A'ou vs. Avar",5.61924806610403
"A'ou vs. Baba Malay",5.73132994876732
"A'ou vs. Badaga",5.06705279532932
"A'ou vs. Bagvalal",5.80663655633181
"A'ou vs. Bantawa",4.22969194997622
"A'ou vs. Basque",3.83220099495788
"A'ou vs. Betta Kurumba",3.85873973568493
"A'ou vs. Bezhta",5.22883009209561
"A'ou vs. Bih",2.44973907888395
"A'ou vs. Bisu",2.63021997119219
"A'ou vs. Biyo",1.2266502225109
"A'ou vs. Bodo-Mech",4.71190345066658
"A'ou vs. Bolyu",1.80692465824089
"A'ou vs. Bonan",4.99376093542235
"A'ou vs. Budukh",5.57221541930629
"A'ou vs. Bugan",0.806311487434859
"A'ou vs. Bujhyal",3.33756876255275
"A'ou vs. Bulo Stieng",3.26680690522369
"A'ou vs. Bunan",4.04481272182027
"A'ou vs. Burmese",2.77027722945363
"A'ou vs. Burushaski",5.41158942388827
"A'ou vs. Cao Miao",2.10671689661219
"A'ou vs. Catalan",3.54948583959179
"A'ou vs. Central Bai",2.60634629932551
"A'ou vs. Central Chong",2.53665454968162
"A'ou vs. Central Hongshuihe Zhuang",1.47904959964328
"A'ou vs. Central Khmer",3.40596849667685
"A'ou vs. Chak",7.45127875198555
"A'ou vs. Chintang",5.01856954369364
"A'ou vs. Chitwania Tharu",3.5613371224176
"A'ou vs. Chong of Chanthaburi",3.00251064082334
"A'ou vs. Chothe",4.57244836648236
"A'ou vs. Chukchi",5.09365533850486
"A'ou vs. Chut",2.50200028928709
"A'ou vs. Chuvash",5.58093730825391
"A'ou vs. Cosao",1.18313316877879
"A'ou vs. Cypriot Arabic",4.74567066347299
"A'ou vs. Daai Chin",3.16416905345262
"A'ou vs. Dagur",5.0480225489511
"A'ou vs. Daman-Diu Portuguese",3.78423776433906
"A'ou vs. Dandami Maria",5.7728989552512
"A'ou vs. Danish",6.11986014975169
"A'ou vs. Daohua",2.18314826585023
"A'ou vs. Dari",3.4313745789441
"A'ou vs. Darma",4.77115098403629
"A'ou vs. Deori",4.61144751171815
"A'ou vs. Dhimal",3.55432961601111
"A'ou vs. Dhivehi",3.21339530026554
"A'ou vs. Domari",5.35248668648957
"A'ou vs. Dongxiang",5.4647073410432
"A'ou vs. Duhumbi",5.09977513350785
"A'ou vs. Dumi",3.40668523948329
"A'ou vs. Dungan",1.06376229822255
"A'ou vs. Duoluo Gelao",0.645843735412744
"A'ou vs. Dutch",4.04553219515406
"A'ou vs. Dzongkha",5.05211050100261
"A'ou vs. E",2.43595282437093
"A'ou vs. Eastern Katu",3.15747446046523
"A'ou vs. Eastern Kayah",2.90934311199909
"A'ou vs. Eastern Magar",4.8855518326369
"A'ou vs. Eastern Newari",3.61163213039255
"A'ou vs. Eastern Panjabi",3.19913724285469
"A'ou vs. Eastern Tamang",2.74157259228738
"A'ou vs. Enu",2.36488715395094
"A'ou vs. Ersu",2.45271916081348
"A'ou vs. Estonian Swedish",4.16097911347592
"A'ou vs. Evenki",5.19221716770846
